text,label,trend,Time,Name,Quote,Before,After,rel_change
luxchem malakoff scomi apm automotive inix th plantations serba dinamik evergreen fibreboard mbsb mah sing petdag rhb bank ammb and tropicana,1,flat,2017-08-22T00:08:51+08:00,AMBANK,1015,4.7,4.7,0.0
hektar reit s 2q17 npi fell 4 5 y o y,1,flat,2017-08-08T20:13:30+08:00,HEKTAR,5121,1.28,1.3,0.015625000000000014
ekovest iwcity master pack inta bina revenue tadmax ikhmas malton,1,flat,2019-06-11T13:23:19+08:00,MALTON,6181,0.56,0.575,0.026785714285714107
stock with momentum tpc plus,0,downtrend,2017-10-04T10:50:41+08:00,TPC,7176,0.435,0.41,-0.05747126436781615
syed mokhtar s daughter joins gas malaysia board,1,flat,2018-06-12T10:22:43+08:00,GASMSIA,5209,2.85,2.9,0.017543859649122744
stock with momentum rhone ma holdings,1,flat,2018-06-14T10:38:37+08:00,RHONEMA,5278,0.872727,0.85909,-0.01562573404970857
salcon bags rm71m contract to build storm water pumping station in sri lanka,1,flat,2018-07-16T19:34:17+08:00,SALCON,8567,0.289677,0.289677,0.0
mrcb quill reit 4q net loss at rm24m plans 3 37 sen distribution,1,flat,2020-01-17T16:43:01+08:00,MQREIT,5123,1.0,1.0,0.0
ire tex names vp saharun nizam as new chief executive officer,1,flat,2017-08-08T09:40:03+08:00,IRETEX,7183,0.18,0.175,-0.027777777777777804
ralco bertam alliance cabnet chin hin group property cuscapi eastland equity fima corp key asic kia lim kym malaysia smelting pelikan pelangi puncak niaga sapura industrial sarawak cable scope industries sealink widetech,1,flat,2021-02-16T13:49:51+08:00,PELIKAN,5231,0.365,0.37,0.013698630136986314
airasia 3q net loss narrows q o q as domestic market recovers,1,flat,2020-11-24T19:29:37+08:00,AIRASIA,5099,0.71,0.73,0.028169014084507067
priceworth says price tag for logging concession is 67 less than market value,1,flat,2018-05-03T17:52:57+08:00,PWORTH,7123,0.097674,0.100116,0.025001535720867375
minetech rubberex solid automotive,1,flat,2020-04-15T13:34:01+08:00,RUBEREX,7803,0.28,0.288333,0.02976071428571421
oversea enterprise shareholders advised to accept takeover offer,1,flat,2020-09-07T13:31:42+08:00,OVERSEA,153,0.233333,0.233333,0.0
sunway reit 1q net property income up 15 5 y o y proposes 2 67 sen dpu,1,flat,2017-10-31T21:32:06+08:00,SUNWAY,5211,1.695912,1.666503,-0.017341112038832214
edaran jumps 28 75 after unit bags rm56 71m job from rmcd,2,uptrend,2019-12-04T11:09:11+08:00,EDARAN,5036,0.47,0.495,0.05319148936170218
klci rises 1 09 as top glove leads gainers after analysts shrugged off us detention order on subsidiaries,2,uptrend,2020-07-17T13:03:31+08:00,TOPGLOV,7113,6.533333,7.66,0.17244903941066533
cgs cimb keeps neutral rating on telecommunications sector top pick axiata,1,flat,2019-12-18T10:58:57+08:00,CIMB,1023,5.22,5.33,0.021072796934865964
ram consultancy upgrades ammb s sustainability rating to gold,1,flat,2019-06-26T10:50:05+08:00,AMBANK,1015,4.29,4.3,0.002331002331002281
mgb bags rm443m contract to develop affordable homes in selangor,1,flat,2021-02-17T18:31:19+08:00,MGB,7595,0.95,0.91,-0.04210526315789466
myeg green packet tien wah wah seong handal resources bland cymao wct and lbs bina,1,flat,2018-06-04T22:08:51+08:00,HANDAL,7253,0.37,0.365,-0.013513513513513526
puc d nonce grand flo idimension mnc sch sarawak plantation,0,downtrend,2017-10-17T13:30:23+08:00,DNONCE,7114,0.45,0.39,-0.13333333333333333
genting unlocks value of life science division via potential listing of spac,1,flat,2021-01-10T14:17:43+08:00,GENTING,3182,4.05,4.13,0.019753086419753103
rhb ib trims fy20 and fy21 earnings forecast for mynews,1,flat,2019-12-20T12:01:06+08:00,MYNEWS,5275,1.11,1.07,-0.036036036036036063
steady crane orders to sustain favelle favco earnings midf research,1,flat,2020-09-24T10:54:43+08:00,FAVCO,7229,2.3,2.32,0.008695652173913052
klci notches modest gains mah sing active on glove manufacturing plan,2,uptrend,2020-10-16T09:17:46+08:00,MAHSING,8583,0.75,0.945,0.25999999999999995
atlan holdings rohas tecnic n2n connect adventa top glove versatile creative lpi capital and econpile,1,flat,2018-07-09T22:34:59+08:00,LPI,8621,17.0,17.16,0.00941176470588236
mahb files to be excluded from airasia x s debt restructuring scheme,1,flat,2020-10-23T18:28:57+08:00,AIRASIA,5099,0.565,0.565,0.0
felda global ventures 3q net profit at rm38 8m pays 5 sen dividend,1,flat,2017-11-23T14:46:20+08:00,FGV,5222,1.79,1.84,0.02793296089385477
ykgi karyon esceram melewar smi hiaptek mct velesto inno azrb freight eden emico lbalum rgbtbhd,1,flat,2020-01-03T13:46:14+08:00,KARYON,54,0.185,0.185,0.0
nwp aborts deal for stake in aviation player appoints new group ed,1,flat,2018-04-16T19:47:43+08:00,NWP,5025,0.265,0.26,-0.018867924528301903
pharmaniaga duopharma rise in morning trade on covid 19 vaccine news,0,downtrend,2020-07-15T13:29:31+08:00,PHARMA,7081,2.9,2.72,-0.06206896551724128
mahb sapura energy mbm parkson and green packet,1,flat,2018-06-29T23:39:53+08:00,PARKSON,5657,0.58,0.57,-0.017241379310344845
destini falls 1 92 after slump in 1q earnings,1,flat,2019-06-03T09:55:23+08:00,DESTINI,7212,0.255,0.25,-0.01960784313725492
resorts world genting to stay closed until april 14 following mco extension,1,flat,2020-03-25T22:54:02+08:00,GENTING,3182,3.45,3.48,0.008695652173912986
yong tai mahb menang corp mulpha international and uem sunrise,1,flat,2021-02-15T23:43:20+08:00,MULPHA,3905,1.3,1.3,0.0
advancecon arb axis reit cypark gas malaysia gunung capital ioi corp majuperak and mui,1,flat,2019-12-24T23:09:08+08:00,GASMSIA,5209,2.65,2.75,0.03773584905660381
signature international mtd acpi bumi armada chin hin classic scenic innity corp industronics msm pwf silver ridge,1,flat,2021-03-01T13:27:28+08:00,CHINHIN,5273,1.7,1.72,0.011764705882352951
bursa queries hubline on share price volume rise,0,downtrend,2017-10-19T14:03:35+08:00,HUBLINE,7013,0.175,0.165,-0.05714285714285704
fgv genting plantations seen gaining from malaysia cpo export tax suspension,1,flat,2018-01-08T11:27:56+08:00,GENP,2291,10.62,10.7,0.007532956685499066
covid 19 pandemic drags sime darby property into the red in 2q,1,flat,2020-08-26T15:10:00+08:00,SIMEPROP,5288,0.655,0.645,-0.015267175572519097
daibochi 2q net profit down 7 8 declares 0 8 sen dividend,1,flat,2018-08-16T18:58:03+08:00,DAIBOCI,8125,2.05,2.0,-0.02439024390243894
btm damansara realty destini duopharma biotech frontken k one mlabs smtrack tasek uem edgenta and yee lee,1,flat,2020-05-12T23:10:46+08:00,DBHD,3484,0.425,0.425,0.0
komarkcorp inks distributorship agreement with lkl to sell disposable medical grade face masks,2,uptrend,2020-12-16T13:58:59+08:00,KOMARK,7017,0.6,0.644444,0.07407333333333341
affin hwang capital raises target price for top glove to rm8,1,flat,2017-12-12T08:31:50+08:00,TOPGLOV,7113,1.091666,1.091666,0.0
daibochi ql supercomnet,2,uptrend,2017-11-30T13:50:37+08:00,SCOMNET,1,0.31,0.33,0.06451612903225812
ireka zhulian ccmdbio goldis lpi mbworld mflour pa poly sbagan seehup,1,flat,2018-01-11T13:18:37+08:00,ZHULIAN,5131,1.84,1.92,0.04347826086956513
ifca msc intends to lead the way in proptech,1,flat,2017-11-29T16:00:00+08:00,IFCAMSC,23,0.385,0.38,-0.012987012987012998
affin fgv t7 salcon kerjaya prospek jaycorp and matrix concepts,1,flat,2017-09-18T23:29:25+08:00,JAYCORP,7152,1.43,1.46,0.020979020979020997
luxchem to allocate smaller sum for fy18 capital expenditure,1,flat,2017-08-22T10:26:32+08:00,LUXCHEM,5143,0.713333,0.733333,0.028037396279157165
axiata dialog nova msc eco world international uoa reit apft asdion pharmaniaga malaysia airlines lien hoe misc and myeg,1,flat,2018-06-08T22:42:57+08:00,ASDION,68,0.295,0.295,0.0
trive property s external auditor resigns,1,flat,2018-05-22T20:09:55+08:00,TRIVE,118,0.45209,0.45209,0.0
affin hwang capital lowers target price for maxis to rm5 40,1,flat,2018-04-20T08:42:29+08:00,MAXIS,6012,5.88,5.87,-0.0017006802721088073
two thirds of mufg s divested stake in cimb went to foreign shareholders,1,flat,2017-09-20T13:54:17+08:00,CIMB,1023,6.32,6.31,-0.0015822784810127649
pavilion reit growth seen to be driven by elite pavilion buy,1,flat,2018-04-30T10:15:23+08:00,PAVREIT,5212,1.44,1.5,0.041666666666666706
five must own singapore stocks to scoop up in a market rebound cimb,1,flat,2018-02-07T12:13:39+08:00,CIMB,1023,6.94,7.08,0.02017291066282416
genting ihh healthcare knm group fintec global yinson country heights eversendai tdm fgv and datasonic,1,flat,2019-09-18T00:58:52+08:00,FINTEC,150,0.05,0.05,0.0
aax ammb mbsb ql sime darby property uoa development matrix concepts 7 eleven power root padini petron ijm corp magnum hong leong industries ghl green packet genting plantations th plantations khee san dnex tsh and berjaya corp,1,flat,2020-08-27T01:28:16+08:00,GENTING,3182,3.54,3.54,0.0
tadmax suncon pestech airasia aax uchitech vs industry eco world international and marine general,1,flat,2020-03-26T22:55:12+08:00,AIRASIA,5099,0.73,0.75,0.02739726027397263
mbm resources parts unit seen to break even in fy19,1,flat,2018-03-13T10:23:26+08:00,MBMR,5983,2.47,2.45,-0.008097165991902841
genting msia buys back more shares as price remains above rm3 level,1,flat,2021-03-16T20:43:59+08:00,GENTING,3182,5.13,5.3,0.033138401559454175
gabungan aqrs strong order book could sustain growth,2,uptrend,2018-07-16T11:02:52+08:00,GBGAQRS,5226,1.235294,1.313725,0.06349176795159707
rohas tecnic bags power line jobs worth rm192m in bangladesh,2,uptrend,2020-02-20T18:46:12+08:00,ROHAS,9741,0.59,0.625,0.05932203389830514
censof s samsul husin is not re elected to dnex s board,1,flat,2020-06-29T20:00:34+08:00,CENSOF,5195,0.1,0.105,0.049999999999999906
integrated logistics buys 78 9ha land in kedah for solar energy ventures,1,flat,2019-06-17T23:40:16+08:00,ILB,5614,0.385,0.375,-0.025974025974025997
kerjaya prospek bags rm204m construction contract at gamuda cove,1,flat,2020-09-01T18:45:37+08:00,GAMUDA,5398,3.35,3.42,0.020895522388059654
parkson 4q net loss narrows as revenue climbs,1,flat,2017-08-25T21:39:15+08:00,PARKSON,5657,0.535,0.53,-0.009345794392523372
icon offshore md amir hamzah steps down,1,flat,2017-10-20T19:49:04+08:00,ICON,5255,13.75,13.75,0.0
lkl at systematization boustead techfast top glove hartalega supermax and kossan,1,flat,2020-11-07T00:46:58+08:00,TECFAST,84,0.615,0.615,0.0
homeritz s retracement has likely reached interim low says rhb retail research,1,flat,2021-03-19T07:46:02+08:00,HOMERIZ,5160,0.61,0.635,0.04098360655737709
ytl reit to buy ytl s japan ski resort for rm222 5m,1,flat,2018-08-15T10:23:26+08:00,YTL,4677,1.306452,1.296774,-0.007407849656933323
astro scientex sapura resources ranhill 7 eleven my e g acoustech nexgram hck ajinomoto gdex and halex,0,downtrend,2017-12-06T23:16:49+08:00,NEXGRAM,96,0.04,0.035,-0.12499999999999993
various factors led to airasia calling off china lcct plan,1,flat,2018-09-04T10:08:48+08:00,AIRASIA,5099,3.37,3.31,-0.017804154302670638
smrt creador terminate asiamet takeover collaboration,1,flat,2018-03-01T19:58:39+08:00,SMRT,117,0.205,0.205,0.0
prestariang in two hours of mediation with immigration dg over skin suit,1,flat,2019-10-30T18:53:17+08:00,PRESBHD,5204,0.475,0.48,0.010526315789473694
sime darby s weaker motor unit cushioned by industrial logistic segments,1,flat,2018-02-26T10:44:55+08:00,SIME,4197,2.8,2.73,-0.024999999999999946
bursa queries kumpulan powernet s share price rise,1,flat,2019-06-10T12:17:51+08:00,KPOWER,7130,0.2025,0.19625,-0.030864197530864224
umw fitters ioi corp tiong nam puncak niaga mmc corp mms ventures bimb mah sing and cimb,1,flat,2017-08-28T23:39:42+08:00,CIMB,1023,6.78,6.7,-0.011799410029498535
puc t7 global euro pansar,1,flat,2018-02-19T14:27:05+08:00,PANSAR,8419,0.523333,0.533333,0.019108292425663767
umw holdings braces for sst impact,1,flat,2018-08-30T10:38:33+08:00,UMW,4588,6.08,5.94,-0.02302631578947363
petra energy appoints mohd nizam simon ong as non exec directors,1,flat,2018-02-23T20:48:43+08:00,PENERGY,5133,0.74,0.76,0.027027027027027053
significant changes with higher risk led to boustead privatisation lapsing says ltat,1,flat,2021-02-05T12:44:44+08:00,BSTEAD,2771,0.6,0.58,-0.03333333333333337
stock with momentum pansar,1,flat,2018-03-29T11:13:51+08:00,PANSAR,8419,0.773333,0.78,0.008621124405657044
top glove earnings accretion seen from aspion acquisition,1,flat,2018-03-16T12:05:27+08:00,TOPGLOV,7113,1.65,1.633333,-0.010101212121212113
sunway 1hfy18 profit slightly below expectations,1,flat,2018-08-24T10:45:32+08:00,SUNWAY,5211,1.548867,1.539064,-0.006329142528054382
ta enterprise widad top glove guocoland f n george kent united malacca econpile deleum uzma and apollo food,2,uptrend,2020-12-16T00:33:21+08:00,TOPGLOV,7113,6.41,6.77,0.056162246489859506
sime darby vitrox salcon econpile voir lbs sapura industrial sch r a ancom and sws,1,flat,2017-11-17T00:32:22+08:00,ANCOM,4758,0.555653,0.546971,-0.015624859399661243
hwang capital aax 7 eleven genting genm yong tai ammb hlfg hong leong bank matrix concepts wct and ppb,1,flat,2017-08-25T00:29:40+08:00,YONGTAI,7066,1.43,1.46,0.020979020979020997
planters earnings could have bottomed in 2q19 says cgs cimb research,1,flat,2019-10-04T08:02:43+08:00,CIMB,1023,5.01,4.86,-0.029940119760478938
bintulu port green packet hibiscus heineken maybank maybulk leong hup pharmaniaga sunway reit and t7 global,1,flat,2020-05-19T23:12:02+08:00,SUNREIT,5176,1.59,1.58,-0.0062893081761006345
top glove airasia brite tech censof myeg euro holdings umw pestech and mi technovation,2,uptrend,2020-10-09T00:23:57+08:00,CENSOF,5195,0.135,0.145,0.07407407407407393
airasia sime darby plantation muar ban lee cymao nationwide express focus dynamics group segi minetech wintoni silver ridge holdings and pdz holdings,2,uptrend,2020-07-09T00:04:10+08:00,SRIDGE,129,0.35,0.37,0.0571428571428572
datasonic axiata scomi energy mbsb kub alliance widad aeon credit drb hicom ecoworld sapura energy and anzo,2,uptrend,2020-06-26T00:35:46+08:00,ANZO,9342,0.15,0.175,0.16666666666666663
signature international mtd acpi bumi armada chin hin classic scenic innity corp industronics msm pwf silver ridge,1,flat,2021-03-01T13:27:28+08:00,SRIDGE,129,0.795,0.795,0.0
eversendai umw holdings scientex ann joo bina puri titijaya land sapura energy muhibbah engineering and advancecon,2,uptrend,2018-03-22T23:46:01+08:00,SENDAI,5205,0.75,0.85,0.1333333333333333
prg holdings ceo steps down after less than a year at the helm,0,downtrend,2020-04-07T18:59:58+08:00,PRG,7168,0.215,0.2,-0.06976744186046505
denko bat i bhd tas offshore titijaya kkb heitech padu bland eig axis reit and t7 global,2,uptrend,2017-10-23T23:28:38+08:00,TAS,5149,0.28,0.315,0.1249999999999999
astro malaysia 3q net profit slips 2 9 declares 3 sen dividend,1,flat,2017-12-06T17:21:50+08:00,ASTRO,6399,2.8,2.77,-0.010714285714285645
macpie george kent willowglen lkl global oriental lbs green packet and petchem,0,downtrend,2020-09-14T23:59:29+08:00,LKL,182,1.27,1.18,-0.07086614173228353
longer term story still very compelling says airasia x s kamarudin,1,flat,2017-11-23T18:46:44+08:00,AIRASIA,5099,3.21,3.16,-0.015576323987538885
t7 global shares surge as much as 35 amid reports that controversial ecrl will proceed,2,uptrend,2018-06-25T13:34:52+08:00,T7GLOBAL,7228,0.47,0.5,0.06382978723404262
inari amertron posts stronger fy18 profit pays 2 sen dividend,1,flat,2018-08-28T20:06:13+08:00,INARI,166,2.37,2.3,-0.02953586497890307
jkg land cn asia dynaciate ecobuilt ivory lbi capital mudajaya parkson sbc corp sealink shin yang theta toyo ventures united u li,2,uptrend,2020-12-30T13:29:58+08:00,MUDAJYA,5085,0.305,0.33,0.08196721311475418
mbm resources shareholders reject umw takeover offer,1,flat,2018-03-26T22:22:27+08:00,UMW,4588,6.1,6.19,0.014754098360655861
aemulus ancom at systematization btm connectcounty dancomech ea technique iconic worldwide i stone luster muar ban lee mikro msc rexit salcon sealink sern kou spring art superlon techfast wegmans yi lai,0,downtrend,2020-06-11T14:06:19+08:00,SEALINK,5145,0.395,0.325,-0.17721518987341772
boustead plantations boustead holdings see boardroom changes,1,flat,2019-07-26T18:54:49+08:00,BSTEAD,2771,1.12,1.16,0.035714285714285546
ijm corp earnings seen supported by robust order book,1,flat,2018-09-06T10:24:45+08:00,IJM,3336,1.89,1.81,-0.04232804232804225
cbip temporarily shuts plant in telok panglima garang after 45 employees test positive for covid 19,1,flat,2021-03-02T18:10:02+08:00,CIHLDG,2828,2.14,2.17,0.014018691588784955
pelikan 3q net profit more than doubles thanks to better cost management,1,flat,2019-11-22T23:38:49+08:00,PELIKAN,5231,0.315,0.325,0.03174603174603177
pestech 2q20 bottom line halves despite better operating profit,1,flat,2020-02-21T20:32:14+08:00,PESTECH,5219,1.28,1.22,-0.04687500000000004
ijm corp eyes rm1 5b new construction orders in fy20,1,flat,2019-08-28T23:55:14+08:00,IJM,3336,2.19,2.22,0.013698630136986415
nestle 2qfy17 turnover improves 3 8 y o y,1,flat,2017-08-23T10:28:10+08:00,NESTLE,4707,84.400002,84.279999,-0.0014218364591981523
xin hwa sells pasir gudang warehouse property to axis reit for rm75m in leaseback deal,1,flat,2021-03-15T18:13:08+08:00,XINHWA,5267,0.38,0.395,0.03947368421052635
ql resources may climb higher says rhb retail research,1,flat,2019-12-11T08:04:25+08:00,QL,7084,5.066666,5.066666,0.0
smtrack malayan united industries green packet focus point dolomite kumpulan powernet,1,flat,2019-06-10T13:26:01+08:00,KPOWER,7130,0.2025,0.19625,-0.030864197530864224
klci advances as top glove hartalega lift regional markets mixed on simmering china us tensions,1,flat,2020-07-27T09:16:08+08:00,TOPGLOV,7113,8.666666,8.626666,-0.00461538497041413
public bank 9m earnings within expectations,1,flat,2017-10-30T09:56:00+08:00,PBBANK,1295,4.096,4.1,0.0009765624999998924
cgs cimb upgrades misc to add on opec production increase,1,flat,2020-12-07T11:26:28+08:00,CIMB,1023,3.9,3.94,0.010256410256410265
lay hong melati ehsan hai o gamuda pesona metro and astino,1,flat,2018-03-23T22:51:33+08:00,GAMUDA,5398,5.12,5.11,-0.0019531249999999584
rhb bank 2q net profit up 7 9 pays 12 5 sen dividend,1,flat,2019-08-26T14:51:30+08:00,RHBBANK,1066,5.52,5.62,0.018115942028985605
uem sunrise sees property mart recovery from 2h18,1,flat,2017-10-04T10:10:05+08:00,UEMS,5148,1.11,1.11,0.0
fima corp sues datasonic over rm25m unpaid dues,1,flat,2018-07-31T10:51:49+08:00,DSONIC,5216,0.41,0.405,-0.012195121951219388
comfort gloves may move higher says rhb retail research,2,uptrend,2020-04-21T08:01:16+08:00,COMFORT,2127,1.08,1.23,0.13888888888888878
genting plantations rises after posting strong 3q earnings,1,flat,2020-11-26T11:16:33+08:00,GENP,2291,9.99,10.0,0.0010010010010009797
cypark uzma syf resources tien wah press holdings scomi energy services censof holdings tas offshore and gas malaysia,1,flat,2020-03-19T00:31:43+08:00,SYF,7082,0.155,0.155,0.0
genting malaysia fgv gas malaysia and notion vtec,1,flat,2020-04-08T23:21:43+08:00,GENM,4715,2.11,2.1,-0.004739336492890894
rhb public investment raise dialog target prices,1,flat,2018-08-17T14:21:18+08:00,DIALOG,7277,3.38,3.44,0.017751479289940846
ikmal hisham steps down as amanahraya reit chairman,1,flat,2018-06-01T17:59:09+08:00,ARREIT,5127,0.855,0.855,0.0
lagenda properties bina darulaman tek seng fgv ppb cme focus dynamics ae multi notion vtec axiata and airasia,0,downtrend,2020-10-31T01:14:35+08:00,AIRASIA,5099,0.55,0.52,-0.05454545454545459
hong leong industries media prima sell stake in mni to asia honour hong kong,1,flat,2018-05-04T17:40:49+08:00,MEDIA,4502,0.325,0.325,0.0
kronologi asia sees another record year,1,flat,2018-02-27T10:30:44+08:00,KRONO,176,0.82,0.78,-0.04878048780487796
pos malaysia tunisian post sign bilateral arrangement on e commerce collaboration,1,flat,2017-08-09T17:00:16+08:00,POS,4634,5.23,5.19,-0.0076481835564053595
pharmaniaga poised to benefit from vaccine says kenanga research,1,flat,2020-10-02T08:34:31+08:00,PHARMA,7081,4.7,4.53,-0.03617021276595743
serba dinamik inks joint venture to set up chlor alkali plant in tanzania,2,uptrend,2017-10-10T09:48:59+08:00,SERBADK,5279,1.123809,1.190476,0.05932235815872629
igb expands dave s deli chain to sydney,1,flat,2018-01-19T10:41:08+08:00,IGBB,5606,2.946322,2.946322,0.0
nwp binasat malakoff mesb airasia sime darby property yong tai cimb group sch group ajiya and westports,1,flat,2018-01-08T22:06:41+08:00,AJIYA,7609,0.675,0.66,-0.02222222222222224
serba dinamik rises 12 5 after securing rm7 7b job in uae,1,flat,2020-04-16T11:01:19+08:00,SERBADK,5279,1.72,1.78,0.03488372093023259
paramount issuing rm500m perpetual securities,1,flat,2019-08-02T18:44:28+08:00,PARAMON,1724,1.45,1.39,-0.04137931034482763
aemulus bcmall bornoil esceram iconic istone jag oversea pworth samchem sds wegmans wong,2,uptrend,2020-07-30T13:27:11+08:00,SAMCHEM,5147,0.835,0.93,0.11377245508982047
kinsteel t7 global mahb cimb hubline ajiya amtek perisai vizione amcorp sanichi mnc wireless tasco and efficient e solutions,0,downtrend,2018-01-15T23:26:13+08:00,AJIYA,7609,0.655,0.62,-0.05343511450381684
power root lotte chemical titan dnex affin bank suria capital apft priceworth international and maxwell international,2,uptrend,2019-09-06T00:41:37+08:00,PWORTH,7123,0.045,0.05,0.11111111111111122
lower rental from da men affects pavilion reit s earnings,1,flat,2017-10-31T11:20:57+08:00,PAVREIT,5212,1.7,1.71,0.005882352941176476
xox thailand s tot to explore thai mvno market,2,uptrend,2019-08-09T21:38:16+08:00,XOX,165,0.045,0.05,0.11111111111111122
independent adviser tells iwcity s minority shareholders to accept ekovest s offer,1,flat,2018-03-22T19:26:30+08:00,EKOVEST,8877,0.96,0.965,0.005208333333333338
rhb bank partners tan chong to launch tc gap protector insurance policy,1,flat,2018-02-15T12:40:34+08:00,RHBBANK,1066,5.19,5.21,0.0038535645472060833
cgs cimb cuts bat target price to rm18 53 from rm21 88,1,flat,2019-10-30T12:15:43+08:00,CIMB,1023,5.08,5.09,0.001968503937007832
china listed lkb and koperasi petani muda malaysia ink mou for bio agri collaboration,1,flat,2017-08-11T09:49:40+08:00,MUDA,3883,1.42,1.42,0.0
ahb nova msc comfort gloves dgb asia jcy international kejurusteraan asastera kub malaysia media prima mega sun city meridian mq technology securemetric ta win vitrox zelan,2,uptrend,2020-07-07T13:57:20+08:00,TAWIN,7097,0.1,0.115,0.15
kip reit sentral reit hai o t7 bioalpha menang asia media karyon boustead i stone f n fgv and jade marvel,1,flat,2021-01-19T22:52:03+08:00,KIPREIT,5280,0.815,0.825,0.012269938650306761
petronas chemicals and scomi to jointly develop and market chemical solutions,0,downtrend,2019-06-25T15:45:37+08:00,SCOMI,7158,0.085,0.08,-0.058823529411764754
digi uem sunrise datasonic serba dinamik tropicana corp mct mk land wz satu ireka corp inari amerton nexgram and vizione,1,flat,2018-04-14T00:22:26+08:00,MKLAND,8893,0.175,0.175,0.0
ytl corp 1q net profit slips 5 on higher expenses tax,1,flat,2017-11-22T20:25:37+08:00,YTL,4677,1.16129,1.190322,0.02499978472216257
ta enterprise widad top glove guocoland f n george kent united malacca econpile deleum uzma and apollo food,1,flat,2020-12-16T00:33:21+08:00,UMCCA,2593,5.2,5.1,-0.019230769230769332
berjaya land inari hong leong industries airasia arb malakoff uem sunrise stmkb tan chong motor leong hup myeg wah seong omesti and top glove,2,uptrend,2020-11-24T23:53:21+08:00,WASEONG,5142,0.455,0.49,0.07692307692307687
mamee double decker to emerge as khee san s controlling shareholder,2,uptrend,2019-12-03T11:33:13+08:00,KHEESAN,6203,0.31,0.365,0.17741935483870966
